@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute framing {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
282,1,watch,pur,cohvac,'Remote Server',opti,1
290,0,watch,pur,colight,Locally,insight,1
291,0,alarm,pur,cowash,Locally,opti,1
292,2,tv,pur,coassis,'Third Party Share',reco,0
293,0,watch,pur,corefri,Locally,opti,0
295,2,alarm,pur,corefri,'Third Party Share',reco,0
296,0,assis,pur,cowash,Locally,nothing,1
297,0,assis,pur,coalarm,Locally,insight,0
298,1,assis,pur,cosecu,'Remote Server',opti,1
299,1,tv,pur,cowash,'Remote Server',reco,1
300,0,tv,pur,cotv,Locally,insight,0
301,2,watch,pur,colight,'Third Party Share',insight,0
302,1,tv,pur,cohvac,'Remote Server',insight,1
303,1,alarm,pur,cosecu,'Remote Server',reco,0
304,1,watch,pur,cosecu,'Remote Server',opti,1
305,0,tv,pur,colight,Locally,insight,1
306,0,watch,pur,coalarm,Locally,reco,1
307,1,tv,pur,coalarm,'Remote Server',nothing,0
324,0,assis,pur,cosecu,Locally,reco,1
309,0,watch,pur,corefri,Locally,reco,1
310,1,assis,pur,corefri,'Remote Server',nothing,0
343,0,alarm,pur,coalarm,Locally,insight,1
311,2,watch,pur,cosecu,'Third Party Share',insight,0
312,2,watch,pur,coalarm,'Third Party Share',nothing,0
313,2,tv,pur,cohvac,'Third Party Share',insight,0
314,1,tv,pur,cowash,'Remote Server',insight,1
318,1,watch,pur,itself,'Remote Server',nothing,1
321,0,assis,pur,cohvac,Locally,nothing,1
325,0,assis,pur,coassis,Locally,reco,1
326,0,alarm,pur,cohvac,Locally,nothing,1
328,0,assis,pur,cohvac,Locally,insight,1
338,2,alarm,pur,coalarm,'Third Party Share',opti,0
339,0,assis,pur,cosecu,Locally,insight,1
341,2,tv,pur,cotv,'Third Party Share',reco,0
348,1,assis,pur,corefri,'Remote Server',reco,1
350,0,watch,pur,coalarm,Locally,insight,1
354,2,watch,pur,colight,'Third Party Share',reco,0
360,0,alarm,pur,cohvac,Locally,nothing,0
355,1,tv,pur,colight,'Remote Server',insight,1
357,2,alarm,pur,coalarm,'Third Party Share',insight,0
358,1,assis,pur,colight,'Remote Server',opti,1
363,0,tv,pur,corefri,Locally,opti,1
365,2,assis,pur,coassis,'Third Party Share',reco,0
369,2,tv,pur,coassis,'Third Party Share',nothing,0
372,2,watch,pur,coassis,'Third Party Share',opti,1
374,2,watch,pur,corefri,'Third Party Share',reco,0
375,0,watch,pur,cosecu,Locally,opti,1
380,0,alarm,pur,corefri,Locally,reco,0
382,0,alarm,pur,cosecu,Locally,opti,0
383,2,assis,pur,cohvac,'Third Party Share',opti,1
386,0,alarm,pur,coassis,Locally,insight,1
387,1,tv,pur,cowash,'Remote Server',reco,0
389,2,assis,pur,cosecu,'Third Party Share',nothing,0
390,1,tv,pur,cosecu,'Remote Server',insight,0
393,0,tv,pur,coalarm,Locally,insight,1
398,2,watch,pur,coassis,'Third Party Share',opti,1
399,2,assis,pur,colight,'Third Party Share',reco,0
400,0,assis,pur,coalarm,Locally,opti,1
401,2,alarm,pur,coassis,'Third Party Share',reco,1
405,1,alarm,pur,coalarm,'Remote Server',opti,0
406,0,tv,pur,cosecu,Locally,reco,1
407,1,watch,pur,coassis,'Remote Server',insight,1
408,1,alarm,pur,corefri,'Remote Server',opti,1
410,0,tv,pur,coassis,Locally,nothing,1
412,2,assis,pur,cosecu,'Third Party Share',insight,1
413,1,assis,pur,coassis,'Remote Server',nothing,0
418,1,watch,pur,colight,'Remote Server',opti,1
421,1,watch,pur,itself,'Remote Server',opti,0
429,2,tv,pur,coassis,'Third Party Share',insight,1
430,0,alarm,pur,coassis,Locally,opti,1
431,1,watch,pur,cosecu,'Remote Server',insight,1
432,0,tv,pur,cosecu,Locally,nothing,0
434,2,alarm,pur,cohvac,'Third Party Share',nothing,1
436,1,assis,pur,coassis,'Remote Server',opti,1
438,2,watch,pur,corefri,'Third Party Share',opti,0
439,2,assis,pur,cotv,'Third Party Share',reco,1
440,1,watch,pur,coassis,'Remote Server',reco,0
444,2,assis,pur,cohvac,'Third Party Share',opti,1
446,2,tv,pur,colight,'Third Party Share',insight,0
447,1,watch,pur,coalarm,'Remote Server',opti,1
452,1,alarm,pur,cohvac,'Remote Server',nothing,0
455,0,watch,pur,coassis,Locally,reco,1
456,0,tv,pur,cohvac,Locally,insight,1
457,1,alarm,pur,cowash,'Remote Server',insight,0
462,1,alarm,pur,cowash,'Remote Server',reco,0
463,2,tv,pur,cohvac,'Third Party Share',insight,0
465,2,alarm,pur,colight,'Third Party Share',opti,1
467,2,assis,pur,cowash,'Third Party Share',reco,0
469,0,alarm,pur,cotv,Locally,nothing,1
470,0,watch,pur,coassis,Locally,opti,1
471,0,tv,pur,cotv,Locally,reco,0
473,1,alarm,pur,corefri,'Remote Server',opti,1
475,1,tv,pur,cohvac,'Remote Server',nothing,1
479,1,watch,pur,cotv,'Remote Server',reco,1
480,2,alarm,pur,cotv,'Third Party Share',insight,1
481,1,tv,pur,cosecu,'Remote Server',nothing,1
482,2,assis,pur,coassis,'Third Party Share',nothing,0
484,1,watch,pur,cohvac,'Remote Server',nothing,1
485,1,watch,pur,colight,'Remote Server',nothing,1
486,0,alarm,pur,colight,Locally,opti,1
489,1,alarm,pur,cosecu,'Remote Server',opti,0
491,1,alarm,pur,cowash,'Remote Server',reco,0
492,2,watch,pur,cosecu,'Third Party Share',opti,0
493,2,assis,pur,cosecu,'Third Party Share',nothing,0
496,2,assis,pur,coalarm,'Third Party Share',reco,1
498,0,assis,pur,cowash,Locally,nothing,1
499,2,tv,pur,cohvac,'Third Party Share',nothing,0
500,1,alarm,pur,cowash,'Remote Server',insight,1
502,2,watch,pur,cotv,'Third Party Share',opti,1
504,1,assis,pur,cosecu,'Remote Server',insight,1
505,0,watch,pur,corefri,Locally,nothing,1
506,2,watch,pur,itself,'Third Party Share',opti,0
507,1,tv,pur,cosecu,'Remote Server',opti,1
508,0,tv,pur,cohvac,Locally,nothing,1
509,0,alarm,pur,coalarm,Locally,opti,1
511,0,watch,pur,cosecu,Locally,reco,1
512,0,assis,pur,cosecu,Locally,nothing,1
513,1,alarm,pur,cosecu,'Remote Server',insight,0
515,1,tv,pur,colight,'Remote Server',nothing,1
517,2,tv,pur,cosecu,'Third Party Share',nothing,1
520,0,tv,pur,coassis,Locally,opti,1
521,0,assis,pur,cohvac,Locally,insight,1
523,1,alarm,pur,coassis,'Remote Server',opti,0
525,2,alarm,pur,cohvac,'Third Party Share',reco,0
527,0,alarm,pur,corefri,Locally,reco,0
528,1,watch,pur,cosecu,'Remote Server',insight,1
530,1,tv,pur,corefri,'Remote Server',insight,1
531,0,alarm,pur,cosecu,Locally,insight,1
533,0,watch,pur,cohvac,Locally,insight,0
535,2,alarm,pur,cotv,'Third Party Share',opti,0
537,2,tv,pur,cotv,'Third Party Share',reco,0
538,1,alarm,pur,cowash,'Remote Server',opti,1
540,1,assis,pur,coalarm,'Remote Server',reco,0
541,0,tv,pur,colight,Locally,opti,1
542,1,assis,pur,corefri,'Remote Server',insight,1
543,2,watch,pur,corefri,'Third Party Share',nothing,1
544,0,alarm,pur,coalarm,Locally,opti,1
546,1,assis,pur,coalarm,'Remote Server',nothing,0
547,1,assis,pur,corefri,'Remote Server',opti,1
549,2,alarm,pur,cosecu,'Third Party Share',reco,0
550,2,tv,pur,coalarm,'Third Party Share',nothing,0
552,2,watch,pur,coassis,'Third Party Share',insight,1
553,0,watch,pur,corefri,Locally,nothing,1
555,1,assis,pur,coassis,'Remote Server',reco,0
557,2,assis,pur,cotv,'Third Party Share',opti,0
560,0,alarm,pur,colight,Locally,insight,0
566,2,alarm,pur,corefri,'Third Party Share',insight,1
569,2,assis,pur,corefri,'Third Party Share',reco,0
570,0,tv,pur,cowash,Locally,opti,0
571,2,watch,pur,cotv,'Third Party Share',nothing,0
573,1,alarm,pur,coalarm,'Remote Server',opti,1
574,1,assis,pur,cosecu,'Remote Server',opti,1
577,1,tv,pur,corefri,'Remote Server',opti,0
579,2,watch,pur,colight,'Third Party Share',opti,1
580,0,tv,pur,cohvac,Locally,reco,1
582,0,tv,pur,cosecu,Locally,reco,0
583,0,alarm,pur,cosecu,Locally,insight,0
584,1,watch,pur,coassis,'Remote Server',insight,1
585,0,assis,pur,coassis,Locally,insight,1
588,0,assis,pur,cosecu,Locally,opti,1
590,0,tv,pur,coalarm,Locally,nothing,0
591,1,watch,pur,colight,'Remote Server',insight,1
592,0,watch,pur,coassis,Locally,reco,0
593,1,alarm,pur,cohvac,'Remote Server',reco,0
595,2,alarm,pur,cotv,'Third Party Share',insight,1
597,1,assis,pur,cosecu,'Remote Server',nothing,0
598,1,watch,pur,cohvac,'Remote Server',nothing,1
599,1,alarm,pur,corefri,'Remote Server',insight,0
600,1,tv,pur,colight,'Remote Server',insight,1
601,2,watch,pur,coalarm,'Third Party Share',opti,1
603,0,alarm,pur,corefri,Locally,insight,1
