@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute default {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
628,0,alarm,pur,colight,'Third Party Share',reco,1
633,0,assis,pur,coassis,'Remote Server',opti,0
634,2,watch,pur,cosecu,Locally,nothing,1
679,1,alarm,pur,cohvac,'Remote Server',nothing,1
636,0,assis,pur,cosecu,'Third Party Share',nothing,0
640,1,assis,pur,corefri,Locally,reco,1
641,2,assis,pur,corefri,'Third Party Share',insight,0
642,2,alarm,pur,coalarm,'Third Party Share',nothing,0
644,2,alarm,pur,cotv,'Third Party Share',reco,1
645,1,assis,pur,cosecu,'Remote Server',reco,1
646,1,assis,pur,cotv,Locally,opti,1
650,2,assis,pur,cohvac,'Third Party Share',insight,1
651,1,watch,pur,cosecu,Locally,reco,1
652,1,assis,pur,cosecu,'Third Party Share',reco,1
653,1,tv,pur,cotv,'Remote Server',insight,1
655,2,alarm,pur,coassis,Locally,opti,1
656,1,assis,pur,cosecu,'Remote Server',opti,1
658,0,assis,pur,cosecu,'Third Party Share',opti,1
659,1,assis,pur,cotv,Locally,nothing,0
660,1,alarm,pur,corefri,'Remote Server',insight,1
662,2,tv,pur,coalarm,Locally,reco,1
664,0,alarm,pur,colight,Locally,opti,1
665,2,tv,pur,corefri,'Remote Server',nothing,1
666,0,tv,pur,coassis,'Third Party Share',nothing,1
667,2,assis,pur,coalarm,'Remote Server',nothing,1
671,1,watch,pur,cotv,Locally,nothing,1
674,2,assis,pur,coassis,'Third Party Share',reco,0
675,2,tv,pur,coalarm,'Remote Server',reco,0
676,1,watch,pur,corefri,'Remote Server',insight,1
677,2,assis,pur,colight,Locally,reco,0
750,2,alarm,pur,coalarm,'Remote Server',nothing,1
680,1,watch,pur,cotv,Locally,opti,1
681,0,tv,pur,coalarm,'Third Party Share',nothing,1
682,0,alarm,pur,cosecu,'Remote Server',nothing,0
684,0,assis,pur,cowash,Locally,opti,1
686,0,assis,pur,corefri,'Third Party Share',opti,0
691,2,watch,pur,coalarm,'Remote Server',nothing,1
694,0,assis,pur,cosecu,'Third Party Share',insight,0
696,0,alarm,pur,coassis,Locally,insight,1
698,1,tv,pur,cotv,'Third Party Share',nothing,0
699,1,watch,pur,itself,'Third Party Share',nothing,0
714,2,watch,pur,cotv,'Third Party Share',reco,0
702,0,assis,pur,coassis,'Remote Server',nothing,1
704,0,alarm,pur,cohvac,Locally,reco,0
811,0,alarm,pur,coassis,Locally,reco,1
709,1,tv,pur,colight,Locally,reco,0
710,0,watch,pur,cohvac,'Remote Server',reco,1
712,0,watch,pur,cohvac,'Third Party Share',nothing,0
713,1,tv,pur,coassis,'Third Party Share',nothing,0
716,1,alarm,pur,coassis,'Third Party Share',nothing,0
718,2,alarm,pur,corefri,Locally,reco,0
722,1,assis,pur,colight,Locally,reco,1
723,2,alarm,pur,corefri,'Third Party Share',opti,0
724,0,assis,pur,colight,'Third Party Share',nothing,0
725,2,tv,pur,coassis,'Third Party Share',opti,0
726,1,alarm,pur,cosecu,'Remote Server',reco,0
743,0,alarm,pur,cohvac,'Third Party Share',opti,0
728,2,tv,pur,cosecu,'Third Party Share',reco,0
834,1,watch,pur,corefri,'Remote Server',nothing,1
731,1,tv,pur,cosecu,Locally,opti,1
735,2,tv,pur,colight,'Third Party Share',nothing,1
736,2,assis,pur,coassis,'Remote Server',insight,0
737,1,watch,pur,coassis,'Third Party Share',nothing,1
738,1,alarm,pur,cowash,'Third Party Share',insight,1
739,1,assis,pur,cohvac,'Third Party Share',reco,1
740,0,tv,pur,cohvac,'Third Party Share',opti,0
741,1,watch,pur,corefri,Locally,opti,1
742,1,assis,pur,coassis,'Third Party Share',opti,0
746,0,assis,pur,corefri,'Third Party Share',reco,0
748,1,tv,pur,colight,'Third Party Share',insight,1
749,1,assis,pur,corefri,'Third Party Share',insight,0
753,1,alarm,pur,cohvac,Locally,insight,1
754,2,alarm,pur,coassis,'Remote Server',insight,1
755,0,alarm,pur,cosecu,'Third Party Share',nothing,0
757,1,alarm,pur,cowash,'Third Party Share',nothing,0
759,1,alarm,pur,colight,'Remote Server',nothing,1
761,2,assis,pur,cosecu,'Remote Server',reco,0
762,0,tv,pur,colight,'Remote Server',nothing,1
764,1,tv,pur,cohvac,'Third Party Share',opti,1
765,2,tv,pur,colight,'Third Party Share',reco,0
768,1,alarm,pur,cotv,'Remote Server',insight,0
769,0,alarm,pur,coassis,'Remote Server',nothing,0
770,1,alarm,pur,cotv,'Third Party Share',reco,0
772,2,assis,pur,coalarm,'Remote Server',opti,1
774,2,alarm,pur,coassis,'Remote Server',opti,1
775,0,alarm,pur,cotv,'Remote Server',opti,1
776,1,alarm,pur,coalarm,'Third Party Share',opti,1
779,2,assis,pur,cosecu,Locally,reco,0
781,0,watch,pur,itself,Locally,nothing,1
782,1,alarm,pur,cohvac,'Remote Server',insight,0
785,1,alarm,pur,cowash,'Third Party Share',opti,0
788,0,watch,pur,corefri,'Remote Server',nothing,0
790,0,assis,pur,corefri,Locally,opti,0
791,0,watch,pur,coassis,'Third Party Share',reco,1
792,1,watch,pur,coalarm,'Remote Server',reco,1
798,2,alarm,pur,colight,'Remote Server',nothing,1
799,0,alarm,pur,coassis,'Remote Server',insight,1
800,1,tv,pur,coalarm,'Third Party Share',opti,0
802,2,assis,pur,cohvac,Locally,reco,1
803,0,alarm,pur,coalarm,'Remote Server',nothing,0
804,1,tv,pur,cotv,Locally,opti,1
805,2,alarm,pur,cowash,Locally,insight,1
849,2,watch,pur,coalarm,Locally,insight,0
822,1,alarm,pur,coassis,'Remote Server',reco,1
809,0,watch,pur,cosecu,'Remote Server',reco,1
837,0,tv,pur,cowash,'Remote Server',reco,0
814,0,assis,pur,coalarm,Locally,insight,1
815,1,tv,pur,coassis,'Third Party Share',reco,1
817,0,watch,pur,cosecu,Locally,reco,1
818,1,tv,pur,coalarm,Locally,reco,1
819,2,tv,pur,cohvac,'Remote Server',nothing,0
821,2,watch,pur,corefri,'Remote Server',opti,1
829,1,alarm,pur,cosecu,Locally,nothing,1
832,2,tv,pur,corefri,'Remote Server',insight,0
841,0,watch,pur,cosecu,Locally,nothing,0
839,2,alarm,pur,coassis,Locally,reco,1
842,1,tv,pur,colight,'Third Party Share',reco,1
843,0,watch,pur,cotv,'Remote Server',reco,0
848,1,alarm,pur,cohvac,Locally,reco,1
855,1,assis,pur,corefri,'Remote Server',opti,1
856,1,watch,pur,itself,Locally,nothing,1
857,0,watch,pur,cotv,'Remote Server',opti,1
861,2,watch,pur,coalarm,Locally,nothing,1
862,2,tv,pur,cowash,Locally,reco,0
863,1,alarm,pur,cosecu,'Remote Server',opti,1
864,0,watch,pur,coassis,'Third Party Share',insight,0
865,0,tv,pur,cowash,'Remote Server',nothing,1
867,0,watch,pur,itself,Locally,insight,1
871,1,alarm,pur,corefri,'Third Party Share',opti,1
872,0,alarm,pur,corefri,'Third Party Share',nothing,0
873,2,watch,pur,cohvac,'Remote Server',opti,1
876,2,assis,pur,cowash,'Remote Server',nothing,1
877,1,assis,pur,coalarm,'Remote Server',insight,0
878,2,tv,pur,colight,Locally,nothing,0
879,0,watch,pur,cotv,Locally,nothing,1
880,1,alarm,pur,coalarm,Locally,insight,1
881,2,assis,pur,coalarm,'Third Party Share',insight,0
883,2,alarm,pur,cohvac,'Remote Server',reco,0
887,0,alarm,pur,cotv,'Third Party Share',opti,0
889,2,assis,pur,cohvac,'Third Party Share',nothing,1
890,2,alarm,pur,cosecu,Locally,reco,1
891,0,assis,pur,cosecu,Locally,reco,1
893,0,assis,pur,coalarm,'Remote Server',reco,1
